SeniorCitizen,Partner,Dependents,OnlineSecurity,TechSupport,Contract,PaperlessBilling,tenure,MonthlyCharges,TotalCharges,Churn
Yes,Yes,Yes,No,No,Month-to-month,Yes,62,96.1,5958.2,0
No,Yes,No,No,No,Two year,No,71,19.85,1409.3500000000001,0
No,No,Yes,No,Yes,Month-to-month,Yes,23,55.3,1271.8999999999999,0
No,No,No,No,No,One year,No,16,20.1,321.6,0
No,No,No,Yes,Yes,Month-to-month,Yes,9,69.5,625.5,0
No,Yes,Yes,No,No,Two year,Yes,17,25.15,427.54999999999995,0
No,No,No,No,No,Month-to-month,No,4,20.95,83.8,1
Yes,Yes,No,Yes,No,Month-to-month,Yes,1,49.55,49.55,1
No,Yes,No,No,No,Month-to-month,Yes,24,79.65,1911.6000000000001,0
Yes,No,No,No,No,Month-to-month,Yes,1,71.25,71.25,0
Yes,No,No,Yes,Yes,Two year,No,72,113.8,8193.6,0
No,Yes,No,No,No,Two year,No,72,24.55,1767.6000000000001,0
No,No,Yes,No,No,Month-to-month,No,11,19.7,216.7,0
No,No,No,No,No,Month-to-month,No,9,20.25,182.25,1
Yes,Yes,No,No,No,Month-to-month,No,2,50.15,100.3,1
Yes,Yes,No,No,No,One year,Yes,60,100.5,6030.0,0
Yes,Yes,No,No,No,Month-to-month,Yes,29,95.9,2781.1000000000004,1
No,No,No,No,Yes,Two year,Yes,49,74.45,3648.05,0
Yes,No,No,No,No,Month-to-month,Yes,30,104.1,3123.0,0
No,Yes,No,No,No,One year,No,53,19.05,1009.6500000000001,0
No,No,Yes,No,No,Two year,No,39,25.0,975.0,0
No,No,No,No,No,Month-to-month,No,9,19.05,171.45000000000002,0
No,No,No,No,Yes,One year,No,39,81.9,3194.1000000000004,0
Yes,No,No,No,No,Month-to-month,Yes,8,69.7,557.6,0
No,Yes,Yes,No,No,One year,Yes,51,90.15,4597.650000000001,0
No,Yes,Yes,No,No,Two year,No,71,25.35,1799.8500000000001,0
Yes,No,No,No,No,Two year,Yes,71,24.65,1750.1499999999999,0
Yes,Yes,No,No,No,Two year,Yes,70,19.55,1368.5,0
Yes,No,No,No,No,Month-to-month,No,1,25.25,25.25,1
No,Yes,No,Yes,Yes,Two year,Yes,38,60.0,2280.0,0
No,Yes,No,No,No,Month-to-month,No,28,89.9,2517.2000000000003,0
No,Yes,No,No,No,Month-to-month,No,32,19.4,620.8,0
Yes,Yes,No,No,No,Two year,No,49,49.8,2440.2,0
No,Yes,Yes,No,No,Two year,Yes,37,24.1,891.7,0
No,No,No,No,Yes,Month-to-month,No,10,54.25,542.5,0
No,Yes,No,Yes,No,One year,No,67,109.9,7363.3,0
No,No,No,No,Yes,One year,Yes,7,35.5,248.5,0
No,No,No,No,No,One year,No,51,87.55,4465.05,0
No,No,No,No,No,Month-to-month,No,9,45.15,406.34999999999997,1
No,No,No,No,No,Month-to-month,Yes,9,88.4,795.6,0
No,No,No,No,Yes,Month-to-month,Yes,4,50.8,203.2,0
No,Yes,No,Yes,No,Two year,Yes,71,99.0,7029.0,0
No,Yes,Yes,No,No,Month-to-month,Yes,50,84.4,4220.0,1
Yes,Yes,Yes,No,No,Two year,Yes,24,96.55,2317.2,0
No,Yes,No,Yes,No,One year,Yes,22,59.75,1314.5,0
No,No,No,Yes,No,Month-to-month,Yes,44,111.5,4906.0,0
No,Yes,Yes,No,No,Month-to-month,No,33,24.25,800.25,0
No,No,No,No,No,Month-to-month,Yes,1,75.1,75.1,1
No,Yes,No,No,No,One year,Yes,54,70.15,3788.1000000000004,1
No,No,No,No,No,Month-to-month,Yes,42,101.75,4273.5,1
No,No,No,No,No,Month-to-month,No,1,45.8,45.8,1
No,No,No,No,No,Month-to-month,No,1,20.5,20.5,0
No,No,No,Yes,Yes,One year,No,30,70.4,2112.0,0
No,No,No,No,Yes,Month-to-month,No,1,30.55,30.55,0
No,Yes,Yes,Yes,Yes,Month-to-month,No,16,84.9,1358.4,0
No,No,No,No,No,Month-to-month,Yes,1,20.1,20.1,1
No,Yes,No,No,Yes,Month-to-month,No,9,40.65,365.84999999999997,1
Yes,Yes,No,No,No,Month-to-month,Yes,46,101.0,4646.0,1
No,No,No,No,No,Month-to-month,Yes,1,69.1,69.1,1
No,Yes,No,Yes,Yes,Two year,No,71,54.5,3869.5,0
No,No,No,No,No,Month-to-month,Yes,43,75.35,3240.0499999999997,0
No,Yes,No,Yes,Yes,One year,Yes,50,44.45,2222.5,0
No,No,No,No,No,Month-to-month,Yes,13,75.0,975.0,1
No,Yes,Yes,No,Yes,One year,No,19,100.0,1900.0,1
No,No,No,No,No,Month-to-month,No,41,98.05,4020.0499999999997,0
Yes,No,No,No,No,Month-to-month,Yes,1,71.15,71.15,1
No,No,No,No,No,Month-to-month,Yes,24,54.15,1299.6,1
No,Yes,No,No,No,One year,No,40,63.9,2556.0,0
No,Yes,Yes,No,No,Month-to-month,Yes,3,69.15,207.45000000000002,0
No,No,No,Yes,No,One year,No,37,64.65,2392.05,0
No,Yes,Yes,Yes,Yes,Two year,Yes,67,108.75,7286.25,1
No,Yes,Yes,No,No,Month-to-month,Yes,32,98.85,3163.2,0
No,Yes,No,No,Yes,Month-to-month,Yes,6,49.15,294.9,1
No,Yes,Yes,Yes,No,Month-to-month,No,32,89.6,2867.2,0
No,No,No,No,No,Month-to-month,Yes,59,83.25,4911.75,0
No,Yes,No,No,Yes,One year,No,30,70.25,2107.5,0
No,No,Yes,No,No,Month-to-month,Yes,20,19.4,388.0,1
No,Yes,Yes,No,No,Two year,No,27,24.5,661.5,0
Yes,No,No,Yes,No,Month-to-month,Yes,20,79.15,1583.0,1
No,No,Yes,No,No,One year,No,9,20.1,180.9,0
No,Yes,Yes,Yes,No,One year,Yes,68,73.0,4964.0,0
No,Yes,Yes,Yes,Yes,Two year,No,69,61.4,4236.599999999999,0
No,No,No,No,Yes,Month-to-month,Yes,26,84.3,2191.7999999999997,0
No,Yes,Yes,No,No,Two year,No,69,19.9,1373.1,0
No,No,No,No,No,Two year,No,11,20.4,224.39999999999998,0
No,No,No,No,No,Month-to-month,No,1,50.75,50.75,0
No,Yes,Yes,No,No,One year,No,10,20.45,204.5,0
No,Yes,Yes,Yes,Yes,One year,Yes,55,75.75,4166.25,0
No,No,No,Yes,Yes,One year,No,44,65.4,2877.6000000000004,0
Yes,Yes,No,No,No,Month-to-month,Yes,46,80.4,3698.4,1
No,Yes,Yes,Yes,No,Two year,Yes,69,59.75,4122.75,0
Yes,No,No,No,No,Month-to-month,Yes,11,78.5,863.5,0
No,Yes,No,No,No,Month-to-month,Yes,11,102.0,1122.0,1
No,No,No,No,No,Month-to-month,No,29,48.95,1419.5500000000002,0
No,Yes,No,Yes,No,Month-to-month,Yes,57,99.65,5680.05,0
No,No,No,No,No,One year,No,28,18.25,511.0,0
No,No,No,Yes,No,Month-to-month,No,42,54.55,2291.1,0
No,No,No,No,No,Month-to-month,No,2,20.65,41.3,1
No,No,Yes,Yes,Yes,One year,No,23,40.65,934.9499999999999,0
No,Yes,Yes,No,No,Month-to-month,No,18,20.45,368.09999999999997,0
No,Yes,Yes,No,No,One year,No,62,24.8,1537.6000000000001,0
No,No,No,No,No,Month-to-month,Yes,1,70.8,70.8,1
No,No,No,No,Yes,Month-to-month,Yes,16,89.05,1424.8,1
No,No,No,No,No,Month-to-month,Yes,3,96.6,289.79999999999995,1
No,No,No,Yes,Yes,One year,Yes,67,88.8,5949.599999999999,0
No,No,No,No,No,Two year,Yes,62,20.05,1243.1000000000001,0
No,Yes,No,No,No,Month-to-month,Yes,57,104.5,5956.5,1
No,No,No,No,No,Month-to-month,Yes,2,69.8,139.6,0
No,Yes,Yes,Yes,Yes,Two year,Yes,23,77.15,1774.45,0
No,No,Yes,Yes,Yes,Two year,No,25,35.05,876.2499999999999,0
Yes,No,No,No,Yes,Two year,Yes,72,108.1,7783.2,0
No,Yes,No,No,No,Month-to-month,Yes,2,84.05,168.1,0
No,No,No,No,No,One year,Yes,8,20.2,161.6,0
No,No,No,No,No,Month-to-month,Yes,5,50.6,253.0,1
No,No,No,No,No,Month-to-month,No,35,49.2,1722.0,0
No,No,No,No,No,One year,No,24,24.6,590.4000000000001,0
No,Yes,Yes,No,No,Month-to-month,Yes,2,71.65,143.3,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,104.9,7552.8,0
No,No,No,Yes,Yes,Month-to-month,Yes,41,106.5,4366.5,0
No,No,Yes,Yes,No,Month-to-month,No,4,49.35,197.4,1
No,No,No,No,No,One year,No,26,75.5,1963.0,0
No,No,No,No,No,Month-to-month,Yes,7,94.25,659.75,1
No,Yes,No,No,No,Month-to-month,Yes,1,68.95,68.95,1
No,Yes,Yes,No,Yes,Month-to-month,Yes,4,58.5,234.0,0
No,No,No,No,Yes,Two year,No,48,78.9,3787.2000000000003,0
Yes,No,No,No,No,Month-to-month,Yes,2,93.85,187.7,1
Yes,Yes,No,Yes,Yes,One year,Yes,12,79.2,950.4000000000001,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,60,109.45,6567.0,0
No,No,No,Yes,Yes,Two year,Yes,55,59.2,3256.0,0
No,No,No,No,Yes,Month-to-month,No,1,29.15,29.15,0
No,No,No,No,No,Month-to-month,No,1,20.05,20.05,0
No,No,No,No,No,Month-to-month,Yes,4,76.05,304.2,1
No,No,No,No,No,Month-to-month,Yes,1,24.45,24.45,1
No,No,No,No,Yes,Two year,No,42,66.5,2793.0,0
No,No,No,Yes,No,Month-to-month,No,1,49.55,49.55,0
No,No,No,No,No,Month-to-month,Yes,7,89.35,625.4499999999999,1
No,No,No,No,No,Month-to-month,Yes,3,73.6,220.79999999999998,0
No,Yes,No,Yes,No,Two year,Yes,72,82.65,5950.8,0
No,No,No,No,No,Month-to-month,Yes,15,49.0,735.0,0
No,Yes,No,No,No,Month-to-month,Yes,4,80.35,321.4,1
No,No,No,No,No,One year,No,11,25.2,277.2,0
No,No,No,No,No,Month-to-month,No,5,25.45,127.25,0
Yes,No,No,Yes,No,Month-to-month,Yes,1,55.8,55.8,1
No,Yes,No,Yes,Yes,Two year,Yes,72,110.9,7984.8,0
No,Yes,No,No,No,Month-to-month,Yes,55,77.75,4276.25,0
No,Yes,Yes,No,No,Month-to-month,Yes,40,26.2,1048.0,0
No,Yes,No,No,No,Two year,No,57,19.9,1134.3,0
No,No,No,No,No,Month-to-month,Yes,1,79.05,79.05,1
No,Yes,No,Yes,No,Month-to-month,Yes,1,95.0,95.0,1
No,No,No,No,No,Month-to-month,No,1,25.2,25.2,1
Yes,Yes,Yes,No,No,One year,Yes,52,80.85,4204.2,0
Yes,No,No,No,No,Month-to-month,Yes,41,98.4,4034.4,1
No,Yes,No,No,No,One year,Yes,43,56.35,2423.05,0
No,Yes,Yes,No,No,Two year,No,47,19.3,907.1,0
No,No,No,No,No,Month-to-month,No,3,50.4,151.2,0
Yes,Yes,Yes,Yes,Yes,Two year,No,66,79.4,5240.400000000001,1
No,Yes,Yes,No,Yes,Two year,Yes,55,55.25,3038.75,0
No,No,No,No,No,One year,No,29,19.1,553.9000000000001,0
No,No,Yes,No,No,Month-to-month,Yes,12,84.05,1008.5999999999999,0
No,Yes,No,No,No,Month-to-month,Yes,66,105.2,6943.2,0
Yes,No,No,No,No,Month-to-month,Yes,35,101.4,3549.0,1
Yes,Yes,No,No,No,Month-to-month,Yes,10,89.8,898.0,1
No,Yes,Yes,No,No,Month-to-month,Yes,27,75.75,2045.25,0
No,No,No,No,Yes,Month-to-month,Yes,58,95.3,5527.4,0
No,Yes,No,Yes,Yes,Two year,No,54,109.75,5926.5,1
No,No,No,No,No,Month-to-month,No,9,19.85,178.65,0
No,No,No,No,No,One year,No,2,19.3,38.6,1
No,No,No,No,No,Month-to-month,Yes,6,69.1,414.59999999999997,0
Yes,No,No,No,No,Month-to-month,Yes,26,91.25,2372.5,1
No,No,No,No,No,Month-to-month,No,9,20.25,182.25,0
No,Yes,No,No,No,Month-to-month,Yes,8,54.75,438.0,0
No,No,No,No,No,Month-to-month,Yes,12,81.45,977.4000000000001,0
No,No,No,No,No,Month-to-month,Yes,15,49.1,736.5,1
No,Yes,No,Yes,No,One year,Yes,43,80.2,3448.6,0
No,No,No,No,Yes,Month-to-month,Yes,42,100.3,4212.599999999999,0
No,No,No,Yes,Yes,Month-to-month,No,31,65.25,2022.75,1
No,No,Yes,Yes,Yes,Two year,Yes,66,90.95,6002.7,0
Yes,No,No,No,Yes,Month-to-month,Yes,18,85.45,1538.1000000000001,1
No,No,No,No,No,Month-to-month,No,1,20.0,20.0,0
No,Yes,No,No,Yes,Two year,Yes,61,94.1,5740.099999999999,1
No,No,No,No,No,Month-to-month,No,10,79.85,798.5,0
Yes,No,No,No,No,Month-to-month,Yes,1,71.65,71.65,1
Yes,No,No,No,No,Month-to-month,Yes,18,73.55,1323.8999999999999,0
No,Yes,No,No,No,Month-to-month,Yes,24,104.65,2511.6000000000004,1
No,Yes,Yes,No,No,Month-to-month,No,3,19.3,57.900000000000006,0
No,No,No,No,No,One year,No,50,20.15,1007.4999999999999,0
No,Yes,Yes,No,No,Month-to-month,No,1,44.55,44.55,0
No,No,No,Yes,Yes,Month-to-month,Yes,2,54.45,108.9,0
No,No,No,No,No,One year,Yes,17,19.65,334.04999999999995,0
No,Yes,Yes,No,No,Two year,Yes,69,105.0,7245.0,0
No,Yes,No,Yes,Yes,Two year,Yes,72,88.7,6386.400000000001,0
No,No,No,No,No,Month-to-month,Yes,3,74.25,222.75,1
Yes,Yes,Yes,Yes,No,Two year,Yes,50,75.15,3757.5000000000005,0
No,No,No,No,No,Two year,No,53,20.25,1073.25,0
No,Yes,No,Yes,Yes,Two year,Yes,58,109.1,6327.799999999999,0
No,No,No,Yes,No,One year,Yes,46,30.75,1414.5,0
Yes,Yes,No,Yes,Yes,Month-to-month,Yes,72,112.9,8128.8,0
Yes,No,No,No,No,Month-to-month,Yes,1,74.2,74.2,1
No,Yes,Yes,No,No,Month-to-month,Yes,6,94.05,564.3,0
No,Yes,No,Yes,Yes,Two year,No,72,78.85,5677.2,0
No,No,No,No,No,Month-to-month,Yes,4,55.3,221.2,0
No,Yes,Yes,No,No,Two year,No,52,19.35,1006.2,0
No,Yes,Yes,No,No,Two year,No,0,25.35,0.0,0
No,No,No,No,No,One year,No,2,20.45,40.9,0
No,Yes,No,No,No,Two year,No,65,19.35,1257.75,0
Yes,Yes,No,No,No,Month-to-month,Yes,43,101.0,4343.0,1
No,Yes,No,No,No,Month-to-month,Yes,4,100.2,400.8,1
Yes,Yes,No,Yes,No,One year,Yes,25,89.05,2226.25,1
No,Yes,No,No,Yes,One year,Yes,51,78.65,4011.15,0
No,No,No,No,No,Month-to-month,No,12,74.75,897.0,0
No,Yes,Yes,Yes,No,One year,Yes,57,70.1,3995.7,1
No,Yes,Yes,No,No,One year,No,24,19.9,477.59999999999997,0
No,Yes,No,No,Yes,One year,No,64,58.35,3734.4,0
No,No,No,No,Yes,One year,Yes,4,105.65,422.6,1
No,No,No,No,No,Month-to-month,Yes,26,100.5,2613.0,0
No,Yes,Yes,No,No,Month-to-month,No,15,20.05,300.75,0
Yes,Yes,No,No,No,Two year,No,64,25.65,1641.6,0
Yes,Yes,No,No,No,Month-to-month,Yes,36,96.5,3474.0,1
No,Yes,No,No,No,Month-to-month,No,27,95.0,2565.0,0
Yes,Yes,No,No,No,Month-to-month,No,1,70.85,70.85,1
No,No,No,Yes,Yes,One year,Yes,35,85.95,3008.25,1
No,No,No,No,No,Month-to-month,Yes,4,73.9,295.6,1
No,Yes,Yes,No,No,Month-to-month,Yes,8,45.45,363.6,0
No,No,No,No,No,Month-to-month,Yes,10,20.0,200.0,0
No,No,No,No,No,Month-to-month,No,2,49.2,98.4,0
No,Yes,No,Yes,No,Two year,Yes,58,109.45,6348.1,1
No,Yes,No,Yes,Yes,Two year,Yes,51,83.25,4245.75,0
No,Yes,Yes,No,No,Two year,Yes,46,19.25,885.5,0
No,No,No,No,No,Month-to-month,Yes,1,19.65,19.65,0
No,No,No,No,No,Month-to-month,No,46,72.8,3348.7999999999997,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,50,109.65,5482.5,0
No,Yes,Yes,No,Yes,Month-to-month,No,53,65.0,3445.0,0
No,Yes,No,No,Yes,Month-to-month,Yes,61,114.1,6960.099999999999,0
No,No,No,No,No,Month-to-month,No,5,20.65,103.25,0
No,No,No,Yes,Yes,One year,Yes,47,86.95,4086.65,0
No,No,No,No,No,One year,Yes,54,94.75,5116.5,0
No,No,Yes,No,No,Month-to-month,Yes,19,25.35,481.65000000000003,0
No,No,Yes,No,Yes,Two year,Yes,26,105.45,2741.7000000000003,0
No,Yes,Yes,No,No,Two year,No,70,25.4,1778.0,0
No,Yes,No,No,No,Month-to-month,Yes,17,102.55,1743.35,0
No,No,No,No,No,Month-to-month,Yes,30,100.2,3006.0,1
No,No,Yes,No,No,Month-to-month,No,1,24.0,24.0,0
No,Yes,Yes,No,No,Two year,No,19,25.6,486.40000000000003,0
No,Yes,No,No,No,Two year,Yes,26,73.5,1911.0,0
No,Yes,Yes,No,No,Month-to-month,Yes,21,74.05,1555.05,1
No,Yes,No,No,No,One year,Yes,50,98.25,4912.5,0
No,Yes,No,Yes,No,One year,Yes,68,54.4,3699.2,0
No,No,No,No,No,Month-to-month,Yes,3,101.55,304.65,1
No,Yes,Yes,No,Yes,Month-to-month,No,9,103.1,927.9,0
No,Yes,Yes,Yes,Yes,Two year,No,51,34.2,1744.2,0
No,No,No,No,No,Month-to-month,Yes,9,43.75,393.75,0
Yes,Yes,Yes,No,Yes,One year,Yes,41,111.95,4589.95,1
No,No,No,No,No,Month-to-month,Yes,22,100.65,2214.3,0
No,Yes,Yes,Yes,No,One year,Yes,21,55.95,1174.95,1
No,Yes,Yes,Yes,Yes,Two year,Yes,71,116.05,8239.55,0
No,No,No,No,No,Month-to-month,No,1,45.75,45.75,1
No,Yes,Yes,No,Yes,One year,Yes,26,82.0,2132.0,0
No,Yes,No,Yes,Yes,Two year,No,71,65.15,4625.650000000001,0
No,No,No,No,No,Month-to-month,Yes,4,44.8,179.2,0
No,No,No,Yes,No,Month-to-month,Yes,12,79.8,957.5999999999999,0
No,Yes,No,No,Yes,Month-to-month,Yes,18,88.85,1599.3,0
No,No,No,No,No,Month-to-month,Yes,3,74.95,224.85000000000002,0
Yes,Yes,No,Yes,No,One year,Yes,72,106.85,7693.2,0
No,No,No,No,No,Month-to-month,No,11,74.95,824.45,1
No,No,No,No,No,Month-to-month,No,1,80.15,80.15,1
No,No,No,No,No,One year,No,13,19.3,250.9,0
No,Yes,No,No,Yes,One year,Yes,72,109.25,7866.0,1
No,Yes,No,Yes,No,One year,No,42,56.1,2356.2000000000003,0
No,No,No,No,No,Month-to-month,No,17,19.7,334.9,0
Yes,No,No,No,No,Month-to-month,Yes,7,51.3,359.09999999999997,0
No,Yes,No,Yes,Yes,Two year,No,68,118.6,8064.799999999999,0
No,Yes,Yes,No,No,Two year,No,56,24.15,1352.3999999999999,0
No,Yes,Yes,No,No,One year,No,38,20.3,771.4,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,115.5,8316.0,0
No,No,No,No,No,One year,No,48,25.05,1202.4,0
Yes,Yes,No,Yes,No,Month-to-month,Yes,52,109.1,5673.2,0
No,Yes,Yes,No,No,One year,No,35,19.65,687.75,0
No,Yes,No,No,Yes,Two year,Yes,67,111.3,7457.099999999999,0
No,No,No,Yes,No,Month-to-month,No,1,29.9,29.9,0
No,No,No,No,Yes,Month-to-month,Yes,53,80.6,4271.799999999999,0
No,Yes,Yes,No,No,Month-to-month,No,34,20.8,707.2,0
No,No,No,No,No,Month-to-month,No,3,35.2,105.60000000000001,1
No,Yes,No,No,No,Month-to-month,No,1,78.8,78.8,1
No,No,No,No,Yes,Month-to-month,No,19,89.95,1709.05,0
Yes,Yes,No,Yes,Yes,Two year,Yes,60,116.05,6963.0,0
No,No,No,No,No,Two year,No,11,19.55,215.05,0
No,No,No,No,No,Month-to-month,Yes,47,106.4,5000.8,1
No,No,No,Yes,No,Month-to-month,No,18,49.4,889.1999999999999,1
No,Yes,Yes,Yes,Yes,Two year,No,60,115.25,6915.0,0
No,Yes,No,No,No,Two year,No,72,24.8,1785.6000000000001,0
No,No,No,No,No,One year,No,39,19.9,776.0999999999999,0
No,Yes,No,Yes,No,One year,Yes,59,81.25,4793.75,0
No,Yes,Yes,No,No,Month-to-month,No,2,69.95,139.9,0
Yes,No,No,No,No,Month-to-month,No,1,69.1,69.1,1
No,Yes,Yes,No,No,Month-to-month,Yes,20,90.2,1804.0,1
No,No,No,No,No,Month-to-month,Yes,6,93.55,561.3,1
No,No,No,No,Yes,Two year,Yes,71,86.4,6134.400000000001,0
No,Yes,No,Yes,No,Month-to-month,No,24,66.3,1591.1999999999998,0
Yes,Yes,No,No,No,Month-to-month,Yes,67,94.65,6341.55,0
No,No,No,No,No,Month-to-month,Yes,1,80.85,80.85,1
No,Yes,Yes,No,No,One year,Yes,48,82.05,3938.3999999999996,1
No,Yes,No,No,Yes,One year,No,37,72.1,2667.7,0
No,No,No,No,No,Month-to-month,No,11,34.7,381.70000000000005,0
No,Yes,No,No,No,Month-to-month,Yes,3,20.55,61.650000000000006,1
No,Yes,No,No,No,Month-to-month,Yes,18,95.95,1727.1000000000001,0
No,Yes,Yes,No,No,One year,Yes,50,44.8,2240.0,0
No,Yes,Yes,Yes,Yes,One year,Yes,67,109.4,7329.8,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,25,71.05,1776.25,0
Yes,No,No,No,No,Month-to-month,Yes,2,78.55,157.1,1
No,No,No,No,No,Month-to-month,No,9,19.7,177.29999999999998,0
No,No,Yes,Yes,Yes,One year,No,10,40.25,402.5,0
No,Yes,No,No,No,Two year,No,70,19.85,1389.5,0
No,No,No,Yes,Yes,Month-to-month,Yes,9,68.25,614.25,0
No,No,No,No,No,Month-to-month,Yes,4,20.15,80.6,0
No,No,No,Yes,No,Month-to-month,No,2,50.95,101.9,0
No,No,Yes,No,No,Month-to-month,No,1,78.65,78.65,1
No,No,No,No,No,Month-to-month,Yes,19,25.15,477.84999999999997,0
No,Yes,Yes,No,No,Month-to-month,Yes,7,20.25,141.75,0
No,No,No,No,No,Month-to-month,Yes,1,42.9,42.9,1
Yes,No,No,No,No,Month-to-month,No,1,44.0,44.0,0
No,Yes,Yes,No,No,One year,No,9,20.25,182.25,0
No,No,No,Yes,Yes,Month-to-month,No,3,34.25,102.75,1
No,No,No,Yes,Yes,Month-to-month,No,9,58.5,526.5,1
No,No,No,Yes,No,Month-to-month,No,5,55.8,279.0,0
No,Yes,Yes,No,No,One year,No,56,88.9,4978.400000000001,0
No,No,Yes,Yes,No,Month-to-month,No,18,57.65,1037.7,0
Yes,No,No,No,No,Month-to-month,Yes,49,96.2,4713.8,1
No,Yes,No,Yes,Yes,Two year,No,70,79.15,5540.5,0
No,No,No,No,Yes,Two year,Yes,72,108.05,7779.599999999999,0
Yes,No,No,No,No,Month-to-month,No,6,74.4,446.40000000000003,1
Yes,Yes,No,No,No,Month-to-month,Yes,17,94.8,1611.6,0
No,Yes,No,No,No,Month-to-month,Yes,29,45.9,1331.1,0
No,Yes,No,No,No,Month-to-month,Yes,6,105.3,631.8,1
No,Yes,No,No,No,Two year,No,63,102.6,6463.799999999999,0
No,Yes,No,No,No,Month-to-month,Yes,16,73.85,1181.6,1
No,No,No,No,No,One year,Yes,59,61.35,3619.65,0
No,No,No,No,No,Month-to-month,No,3,57.55,172.64999999999998,0
No,No,No,No,No,Month-to-month,Yes,8,29.25,234.0,0
Yes,Yes,No,No,No,Month-to-month,Yes,7,84.55,591.85,1
No,No,No,No,No,Two year,No,68,19.6,1332.8000000000002,0
No,Yes,Yes,Yes,Yes,Two year,No,68,111.75,7599.0,0
Yes,Yes,No,No,No,One year,Yes,52,106.5,5538.0,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,107.7,7754.400000000001,0
No,Yes,No,No,No,One year,No,32,19.3,617.6,0
No,Yes,No,No,No,Two year,No,72,20.05,1443.6000000000001,0
No,Yes,Yes,No,No,Month-to-month,Yes,1,69.95,69.95,0
No,Yes,Yes,Yes,Yes,One year,No,42,63.7,2675.4,0
No,No,No,No,No,Two year,No,25,24.75,618.75,1
No,No,No,Yes,No,Month-to-month,Yes,45,50.9,2290.5,0
No,Yes,Yes,Yes,Yes,One year,Yes,43,60.4,2597.2,0
No,Yes,No,Yes,No,One year,No,37,79.25,2932.25,0
Yes,No,No,No,No,Month-to-month,Yes,20,85.8,1716.0,1
No,No,No,No,No,Month-to-month,Yes,4,24.45,97.8,1
No,Yes,No,Yes,Yes,Two year,Yes,63,110.1,6936.299999999999,0
No,No,No,No,No,Month-to-month,No,3,90.7,272.1,0
No,Yes,Yes,No,No,Two year,Yes,66,25.3,1669.8,0
No,No,No,No,No,Month-to-month,Yes,28,105.7,2959.6,1
Yes,No,No,No,No,Month-to-month,No,8,85.2,681.6,0
No,No,Yes,No,No,Two year,No,71,24.35,1728.8500000000001,0
No,No,No,No,No,Month-to-month,Yes,1,24.25,24.25,1
No,Yes,Yes,No,No,Two year,No,72,25.1,1807.2,0
Yes,Yes,No,Yes,No,Month-to-month,Yes,16,54.55,872.8,0
No,Yes,No,Yes,Yes,Two year,No,66,96.6,6375.599999999999,0
No,No,No,No,No,Month-to-month,Yes,11,76.5,841.5,1
No,No,No,Yes,Yes,One year,Yes,51,81.15,4138.650000000001,0
No,No,Yes,Yes,No,Month-to-month,Yes,8,38.5,308.0,0
No,No,No,No,No,Month-to-month,Yes,14,92.9,1300.6000000000001,0
No,No,No,No,Yes,Month-to-month,Yes,4,93.5,374.0,1
No,No,No,Yes,No,Two year,No,70,84.7,5929.0,0
No,No,Yes,Yes,Yes,Two year,No,70,66.0,4620.0,0
Yes,Yes,No,No,No,One year,Yes,54,101.5,5481.0,1
No,No,Yes,Yes,No,Month-to-month,Yes,28,74.9,2097.2000000000003,1
No,No,No,No,No,Two year,No,24,20.75,498.0,0
No,Yes,No,No,No,Two year,Yes,69,61.45,4240.05,0
No,Yes,Yes,Yes,No,Month-to-month,No,42,54.5,2289.0,0
Yes,No,No,No,No,Month-to-month,Yes,2,69.6,139.2,1
Yes,No,No,No,No,Month-to-month,Yes,39,99.75,3890.25,0
No,Yes,Yes,No,Yes,Two year,Yes,45,109.75,4938.75,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,80.85,5821.2,0
No,No,No,No,No,Two year,No,38,20.3,771.4,0
No,Yes,No,Yes,Yes,Two year,Yes,72,67.8,4881.599999999999,0
No,No,No,No,No,Month-to-month,Yes,1,24.05,24.05,1
No,Yes,Yes,No,No,Two year,Yes,72,19.8,1425.6000000000001,0
No,Yes,No,No,No,Two year,No,55,25.7,1413.5,0
No,Yes,Yes,No,Yes,One year,Yes,51,56.15,2863.65,0
No,No,No,Yes,Yes,Two year,Yes,63,86.7,5462.1,0
No,No,No,No,No,Month-to-month,No,1,20.4,20.4,0
No,Yes,Yes,No,No,Two year,Yes,23,19.65,451.95,0
No,No,No,No,No,Month-to-month,No,1,50.55,50.55,1
No,No,No,No,Yes,Month-to-month,Yes,2,54.35,108.7,0
Yes,No,No,Yes,No,Month-to-month,No,52,108.1,5621.2,0
No,No,No,Yes,No,One year,No,36,54.45,1960.2,0
No,No,No,No,No,Month-to-month,No,1,45.35,45.35,0
No,No,No,Yes,No,One year,No,28,59.0,1652.0,0
No,Yes,Yes,Yes,No,One year,No,7,69.45,486.15000000000003,0
No,No,No,No,No,Month-to-month,Yes,14,100.55,1407.7,1
Yes,Yes,No,Yes,Yes,Two year,Yes,72,64.95,4676.400000000001,0
No,Yes,Yes,No,No,Month-to-month,Yes,1,20.5,20.5,1
